code,new_category
4056489117056,Processed meat
20887070,Processed meat
20887124,Processed meat
4056489265665,Processed meat
6416345084065,Processed meat
20887285,Processed meat
6405691291104,Processed meat
6405691450006,Processed meat
6409820050549,Processed meat
6410405184504,Processed meat
6414893500402,Processed meat
6416345003035,Processed meat
6407810016896,Processed meat
6407810017947,Processed meat
6407830037420,Processed meat
6407830037451,Processed meat
6410405148674,Processed meat
6419744004979,Processed meat
4056489103783,Processed meat
6409100046286,Processed meat
6412000086238,Processed meat
6407870079763,Processed meat
6410405062604,Processed meat
6415600568098,Sweetened beverages
5010134008426,Sweetened beverages
6407830039141,Poultry
7310500121307,Poultry
4056489454250,Poultry
4056489945260,Poultry
6406300015302,Poultry
6414891801488,Poultry
6414893500549,Poultry
4056489763833,Poultry
6407810015080,Poultry
6407810016094,Poultry
6409100023706,Poultry
6409290002604,Poultry
6409400119260,Poultry
6410405125347,Poultry
20287481,Poultry
4056489062233,Poultry
4056489063018,Poultry
5706911004124,Poultry
6405857301104,Poultry
6407800008979,Poultry
6407800019135,Poultry
6407979290007,Poultry
6414891801020,Poultry
642205110476,Poultry
642205142378,Poultry
643000045369,Poultry
4056489454359,Poultry
6405857318508,Poultry
6466385469582,Poultry
644064343033,Poultry
2377211712120,Poultry
6409100022778,Poultry
14113712,Poultry
2391293115952,Poultry
4056489454373,Poultry
4056489454403,Poultry
4056489597254,Poultry
4056489598930,Poultry
6405857314104,Poultry
6407800003844,Poultry
6409100075927,Poultry
6409400119277,Poultry
20044466,Poultry
4056489062974,Poultry
6407800016172,Poultry
6415712614560,Poultry
5707196221008,Poultry
6409100071431,Poultry
6407810018760,Poultry
4056489598527,Poultry
20887315,Poultry
6405857331606,Poultry
6405857315804,Poultry
6407810018319,Poultry
6407880085075,Poultry
6409400016545,Poultry
4056489152866,Poultry
8858984831088,Poultry
20039769,Poultry
4056489062998,Poultry
6409100045111,Poultry
6414891801204,Poultry
6405799002824,Poultry
6405857300008,Poultry
6409100023775,Poultry
6409100028121,Poultry
6410405149855,Poultry
6410405241184,Poultry
20345846,Poultry
4056489062110,Poultry
6407720025070,Poultry
6405857323502,Poultry
6409100024611,Poultry
6409100025335,Poultry
6409100075958,Poultry
2000196107178,Poultry
2387754009069,Pork
5705900013406,Pork
5705900015967,Pork
6409051971002,Pork
2358684204961,Pork
2363045614846,Pork
2363075906904,Pork
2392530009591,Pork
4056489252672,Pork
4056489454274,Pork
6405244331004,Pork
6407800018237,Pork
6407820029480,Pork
6407880085174,Pork
6407800002427,Pork
2386455706222,Pork
2378050704680,Pork
2396270303834,Pork
7311440601119,Plant-based milk substitutes
6430081490065,Plant-based milk substitutes
5701977550172,Plant-based milk substitutes
6415719330968,Fruit nectars
8719200192409,Fats
8712100628504,Fats
6414893012318,Fats
6410405141378,Fats
6414893083219,Fats
8719200225893,Fats
6408430030309,Fats
8719200057395,Fats
6411200108511,Fats
6411200108504,Fats
7322550052715,Dressings and sauces
8714100783511,Dressings and sauces
20134747,Cream cheese
20134778,Cream cheese
20134792,Cream cheese
6410405156105,Cream cheese
4740142002079,Cream cheese
4740142003434,Cream cheese
6410405215550,Cream cheese
6414893383005,Cream cheese
6414893384002,Cream cheese
6430055270037,Cream cheese
6408430347650,Cream cheese
6408430039371,Cream cheese
7340011454915,Cream cheese
7622400969034,Cream cheese
8719200066786,Cream cheese
6408430339327,Cream cheese
20103286,Cream cheese
4000339697908,Cream cheese
20103354,Cream cheese
6408430339556,Cream cheese
6408430339563,Cream cheese
5760466988797,Cream cheese
6408430039326,Cream cheese
6408430037711,Cream cheese
6430053732506,Cream cheese
20789480,Cheese
6408430336388,Cheese
7310865064462,Cheese
643000412130,Cheese
640001412756,Cheese
2386514901964,Cheese
4056489063032,Cereals
7340191108882,Canned food
6410405088383,Canned food
6410405088420,Canned food
6410405227041,Canned food
2396295302997,Beef
6410405220097,Beef
8722700771401,Beef
3282740217048,Beef
4056489453925,Beef
20642655,Beef
6407840041172,Beef
6407840043145,Beef
20184216,Beef
4056489117063,Beef
20566876,Beef
4056489062295,Beef
4056489254379,Beef
6409100019907,Beef
6409620011665,Beef
6414893500075,Beef
6414893500198,Beef
6409531651516,Beef
2378423009008,Beef
4740113034276,Yogurt
4740113034283,Yogurt
6408430021024,Yogurt
7392672000697,Yogurt
7392672004459,Yogurt
8718166007635,Yogurt
6414893095847,Yogurt
6410405218872,Yogurt
6413300024296,Yogurt
6408653126612,Yogurt
6410405232687,Yogurt
6410405241436,Yogurt
6413300020052,Yogurt
6414893010123,Yogurt
6414893389229,Yogurt
6415712614508,Yogurt
6405344000138,Yogurt
6405344000145,Yogurt
6408430026432,Yogurt
6413300000658,Yogurt
6413300006018,Yogurt
6438574042661,Yogurt
7392672000635,Yogurt
20343835,Yogurt
4740113034658,Yogurt
4742231004223,Yogurt
4742231004599,Yogurt
4742231005282,Yogurt
5202178001994,Yogurt
5202178084317,Yogurt
5709281011150,Yogurt
5709281011273,Yogurt
5709281011280,Yogurt
6407204028504,Yogurt
6408430022151,Yogurt
6408430022168,Yogurt
6408430023264,Yogurt
6408430023332,Yogurt
6408430023721,Yogurt
6408430024902,Yogurt
6408430024933,Yogurt
6408430400164,Yogurt
6408430400218,Yogurt
6408430400287,Yogurt
6408430400300,Yogurt
6408430407545,Yogurt
6408430407897,Yogurt
6408430407958,Yogurt
6408430408641,Yogurt
6408652221622,Yogurt
6408652221646,Yogurt
6408652226320,Yogurt
6408652226627,Yogurt
6408652226870,Yogurt
6408652227051,Yogurt
6411200111023,Yogurt
6413300000115,Yogurt
6413300000122,Yogurt
6413300000313,Yogurt
6413300000412,Yogurt
6413300000771,Yogurt
6413300020410,Yogurt
6413300024852,Yogurt
6413300025095,Yogurt
6416710301209,Yogurt
6416710301315,Yogurt
7350000552843,Yogurt
8005665002224,Yogurt
4056489454519,Yogurt
6408430002023,Yogurt
6408430020539,Yogurt
6408430023554,Yogurt
6408430023578,Yogurt
6408430023608,Yogurt
6408430024209,Yogurt
6408430024995,Yogurt
6408430026739,Yogurt
6408430142286,Yogurt
6408430400577,Yogurt
6408430408665,Yogurt
6408430408948,Yogurt
6408652226955,Yogurt
6408653127589,Yogurt
6411200111283,Yogurt
6413300014419,Yogurt
6413300017847,Yogurt
6413300017861,Yogurt
6413300018189,Yogurt
6413300025156,Yogurt
